100,30,0
"[25.546586840892427, 106.47347656906152]","[59.00172281940247, 112.91563409777766]","[10, 137]","[20, 109]","[30, 96]","[40, 100]","[50, 105]","[60, 97]","[70, 106]"
"[36.235822089553004, 101.71069928120941]",[],"[10, 135]","[20, 108]","[30, 96]","[40, 103]","[50, 103]","[60, 97]","[70, 108]"
"[25.342687851051988, 108.4641218783515]","[59.063493166189375, 111.91691234075269]","[10, 133]","[20, 112]","[30, 97]","[40, 102]","[50, 105]","[60, 97]","[70, 105]"
"[35.55326626384855, 104.63202047754834]",[],"[10, 133]","[20, 107]","[30, 96]","[40, 103]","[50, 103]","[60, 100]","[70, 106]"
"[25.215028439786686, 107.43745669538536]","[58.87937508892338, 114.91315939324785]","[10, 134]","[20, 106]","[30, 95]","[40, 101]","[50, 104]","[60, 98]","[70, 108]"
"[21.019919138915068, 105.06693411867424]","[53.70652082227718, 110.2525513480381]","[10, 140]","[20, 113]","[30, 98]","[40, 103]","[50, 102]","[60, 97]","[70, 104]"
"[20.75167310165427, 106.04749405281254]","[53.194019858971394, 116.24139339730013]","[10, 140]","[20, 105]","[30, 99]","[40, 104]","[50, 103]","[60, 98]","[70, 110]"
"[24.908399427568046, 109.41410367111904]","[59.23024407696211, 110.92842222364945]","[10, 129]","[20, 107]","[30, 96]","[40, 103]","[50, 107]","[60, 98]","[70, 104]"
"[25.045037332890274, 108.42348274187152]","[59.063493166189375, 111.91691234075269]","[10, 131]","[20, 108]","[30, 94]","[40, 102]","[50, 104]","[60, 98]","[70, 105]"
"[25.17598000491276, 109.45067806272446]","[58.966237993776716, 112.91217204329989]","[10, 138]","[20, 107]","[30, 95]","[40, 103]","[50, 106]","[60, 95]","[70, 106]"
"[25.41701405887443, 106.45580778654346]","[58.966237993776716, 112.91217204329989]","[10, 134]","[20, 109]","[30, 95]","[40, 100]","[50, 106]","[60, 95]","[70, 106]"
"[25.546586840892427, 106.47347656906152]","[59.080401256438726, 113.92789328651402]","[10, 139]","[20, 108]","[30, 95]","[40, 100]","[50, 105]","[60, 101]","[70, 107]"
"[25.281295040011692, 107.44655534245932]","[59.160750095015835, 110.921653257921]","[10, 132]","[20, 109]","[30, 96]","[40, 101]","[50, 104]","[60, 99]","[70, 104]"
"[25.342687851051988, 108.4641218783515]","[58.966237993776716, 112.91217204329989]","[10, 134]","[20, 113]","[30, 95]","[40, 102]","[50, 105]","[60, 96]","[70, 106]"
"[36.79368767009927, 99.7871212546401]",[],"[10, 134]","[20, 113]","[30, 97]","[40, 103]","[50, 103]","[60, 95]","[70, 106]"
"[35.99358067950057, 103.70773515559388]",[],"[10, 136]","[20, 109]","[30, 98]","[40, 103]","[50, 103]","[60, 99]","[70, 107]"
"[25.47660679821445, 107.47312999168078]","[58.92463267128477, 115.92212359586323]","[10, 137]","[20, 109]","[30, 97]","[40, 101]","[50, 106]","[60, 99]","[70, 109]"
"[21.186071989181116, 101.06639984066798]","[53.15425907425774, 116.2356378773879]","[10, 138]","[20, 112]","[30, 94]","[40, 104]","[50, 103]","[60, 97]","[70, 110]"
"[25.145575613199743, 108.4373020892746]","[59.03697677280454, 112.91906012924792]","[10, 133]","[20, 107]","[30, 96]","[40, 102]","[50, 106]","[60, 97]","[70, 106]"
"[25.281295040011692, 107.44655534245932]","[58.80783500051506, 114.90621368134451]","[10, 131]","[20, 109]","[30, 97]","[40, 101]","[50, 104]","[60, 96]","[70, 108]"
"[25.342687851051988, 108.4641218783515]","[58.9756908619831, 113.91780935690447]","[10, 134]","[20, 109]","[30, 99]","[40, 102]","[50, 103]","[60, 100]","[70, 107]"
"[36.44461698672255, 101.75925722543836]",[],"[10, 136]","[20, 108]","[30, 95]","[40, 106]","[50, 106]","[60, 97]","[70, 106]"
"[25.635481758115304, 107.49448091540158]","[58.87937508892338, 114.91315939324785]","[10, 139]","[20, 112]","[30, 97]","[40, 101]","[50, 102]","[60, 100]","[70, 108]"
"[25.444408931661467, 107.46877345859737]","[58.76985502146329, 117.91643797388365]","[10, 136]","[20, 109]","[30, 97]","[40, 101]","[50, 103]","[60, 101]","[70, 111]"
"[38.71654200359054, 111.13076872295005]",[],"[10, 136]","[20, 108]","[30, 92]","[40, 102]","[50, 102]","[60, 98]","[70, 108]"
"[25.449623195385747, 106.46027165268234]","[59.10682917995152, 112.92582247320367]","[10, 134]","[20, 109]","[30, 96]","[40, 100]","[50, 106]","[60, 99]","[70, 106]"
"[25.244782708327342, 108.45084632520137]","[58.84371955278343, 114.90970327380276]","[10, 133]","[20, 108]","[30, 98]","[40, 102]","[50, 105]","[60, 96]","[70, 108]"
"[25.412072910234503, 107.4643931891613]","[59.03697677280454, 112.91906012924792]","[10, 136]","[20, 111]","[30, 94]","[40, 101]","[50, 104]","[60, 99]","[70, 106]"
"[25.610525423560176, 106.48213695773408]","[58.61394806815497, 116.89679344679011]","[10, 136]","[20, 110]","[30, 98]","[40, 100]","[50, 103]","[60, 95]","[70, 110]"
"[25.540572046204268, 107.48175401800901]","[58.90478135111028, 113.91092474496719]","[10, 134]","[20, 111]","[30, 100]","[40, 101]","[50, 103]","[60, 98]","[70, 107]"
"[43.127877603774714, 111.25057994408435]",[],"[10, 140]","[20, 112]","[30, 97]","[40, 103]","[50, 103]","[60, 99]","[70, 107]"
"[25.114515287508432, 107.42358124914175]","[59.141424813998405, 112.92915409665628]","[10, 131]","[20, 105]","[30, 96]","[40, 101]","[50, 106]","[60, 100]","[70, 106]"
"[25.444408931661467, 107.46877345859737]","[59.13361786397106, 111.92374307659618]","[10, 134]","[20, 110]","[30, 98]","[40, 101]","[50, 105]","[60, 99]","[70, 105]"
"[25.11221125470036, 108.4327267776957]","[58.85429945022538, 115.9153823554567]","[10, 134]","[20, 108]","[30, 93]","[40, 102]","[50, 105]","[60, 98]","[70, 109]"
"[25.241412612467986, 109.45952036214973]","[59.01903218330947, 110.90771280268984]","[10, 135]","[20, 108]","[30, 99]","[40, 103]","[50, 105]","[60, 94]","[70, 104]"
"[43.00467586984138, 111.22074885264007]",[],"[10, 136]","[20, 106]","[30, 93]","[40, 105]","[50, 105]","[60, 102]","[70, 107]"
"[25.281295040011692, 107.44655534245932]","[59.160750095015835, 110.921653257921]","[10, 133]","[20, 109]","[30, 95]","[40, 101]","[50, 105]","[60, 98]","[70, 104]"
"[25.838413594721082, 105.50380063986255]","[59.27121866173197, 111.93701623812692]","[10, 140]","[20, 112]","[30, 96]","[40, 99]","[50, 110]","[60, 98]","[70, 105]"
"[25.407244040821766, 108.47282602703146]","[58.68672701874406, 116.9038594368885]","[10, 138]","[20, 110]","[30, 96]","[40, 102]","[50, 104]","[60, 96]","[70, 110]"
"[38.8326946274974, 111.16340036157378]",[],"[10, 137]","[20, 106]","[30, 94]","[40, 103]","[50, 103]","[60, 98]","[70, 108]"
"[43.04586466628159, 111.23073799686884]",[],"[10, 135]","[20, 112]","[30, 98]","[40, 102]","[50, 102]","[60, 98]","[70, 107]"
"[25.560172695611975, 109.50202864758045]","[59.141424813998405, 112.92915409665628]","[10, 143]","[20, 111]","[30, 98]","[40, 103]","[50, 106]","[60, 100]","[70, 106]"
"[25.148170619712428, 107.42823492263244]","[58.87937508892338, 114.91315939324785]","[10, 131]","[20, 107]","[30, 95]","[40, 101]","[50, 103]","[60, 99]","[70, 108]"
"[25.508611308589924, 107.47744951216555]","[59.08861549438774, 114.93321620545856]","[10, 139]","[20, 109]","[30, 96]","[40, 101]","[50, 108]","[60, 100]","[70, 108]"
"[21.012311762252654, 103.0588380972654]","[53.51909754350584, 114.26759100081293]","[10, 134]","[20, 114]","[30, 96]","[40, 107]","[50, 103]","[60, 98]","[70, 108]"
"[25.422063996657823, 105.44707810352355]","[58.90478135111028, 113.91092474496719]","[10, 133]","[20, 108]","[30, 94]","[40, 99]","[50, 104]","[60, 97]","[70, 107]"
"[40.0155253355487, 102.52035540516586]",[],"[10, 133]","[20, 111]","[30, 97]","[40, 104]","[50, 104]","[60, 97]","[70, 104]"
"[25.508611308589924, 107.47744951216555]","[59.07201535509928, 112.9224596925439]","[10, 140]","[20, 109]","[30, 95]","[40, 101]","[50, 105]","[60, 99]","[70, 106]"
"[25.48768732497571, 105.45613069341883]","[58.72276772950482, 116.9073443699606]","[10, 132]","[20, 109]","[30, 96]","[40, 99]","[50, 106]","[60, 95]","[70, 110]"
"[25.444408931661467, 107.46877345859737]","[58.80783500051506, 114.90621368134451]","[10, 136]","[20, 110]","[30, 96]","[40, 101]","[50, 104]","[60, 96]","[70, 108]"
"[25.375034728621316, 108.46848799602957]","[58.83295178825879, 113.9038998272775]","[10, 134]","[20, 112]","[30, 97]","[40, 102]","[50, 103]","[60, 96]","[70, 107]"
"[25.635481758115304, 107.49448091540158]","[58.95660221055028, 111.90641587159297]","[10, 139]","[20, 111]","[30, 98]","[40, 101]","[50, 102]","[60, 97]","[70, 105]"
"[25.971448198292133, 104.51268933387635]","[58.99247545544296, 111.90994987218339]","[10, 137]","[20, 115]","[30, 97]","[40, 98]","[50, 103]","[60, 97]","[70, 105]"
"[25.70537908587329, 106.49491225720773]","[58.94034153148284, 113.91438192674097]","[10, 141]","[20, 108]","[30, 98]","[40, 100]","[50, 104]","[60, 98]","[70, 107]"
