100,40,0
"[14.31410782416985, 103.26546026444379]","[51.82037544108202, 131.19643019987842]","[0, 107]","[10, 96]","[20, 95]","[30, 97]","[40, 111]","[50, 98]","[60, 99]","[70, 125]"
"[14.395652140937608, 104.28905466211161]","[52.35210588170985, 128.24139096734433]","[0, 106]","[10, 99]","[20, 98]","[30, 98]","[40, 111]","[50, 108]","[60, 95]","[70, 122]"
"[14.395652140937608, 104.28905466211161]","[52.24872063087771, 127.21750893926249]","[0, 105]","[10, 102]","[20, 96]","[30, 98]","[40, 113]","[50, 99]","[60, 97]","[70, 121]"
"[14.352825826958428, 103.27133384528004]","[52.8033421719503, 121.23645260461738]","[0, 101]","[10, 100]","[20, 98]","[30, 97]","[40, 108]","[50, 102]","[60, 98]","[70, 115]"
"[14.203019475185723, 104.26004846596487]","[52.52511294761758, 125.2366992666605]","[0, 105]","[10, 98]","[20, 95]","[30, 98]","[40, 112]","[50, 100]","[60, 99]","[70, 119]"
"[14.578776540063936, 102.29412670221352]","[52.68301031054204, 123.23929574761866]","[0, 106]","[10, 99]","[20, 97]","[30, 96]","[40, 112]","[50, 101]","[60, 97]","[70, 117]"
"[14.106794908648283, 107.27911510093867]","[51.945807290989706, 128.1848221278594]","[0, 108]","[10, 100]","[20, 96]","[30, 101]","[40, 111]","[50, 98]","[60, 95]","[70, 122]"
"[14.395652140937608, 104.28905466211161]","[52.34663686462647, 126.22147631100943]","[0, 106]","[10, 100]","[20, 97]","[30, 98]","[40, 112]","[50, 98]","[60, 99]","[70, 120]"
"[14.581241935722666, 103.30568434206442]","[52.62263815110859, 122.22082302376117]","[0, 108]","[10, 102]","[20, 95]","[30, 97]","[40, 109]","[50, 99]","[60, 98]","[70, 116]"
"[14.286004508358587, 105.28377736258243]","[52.15122675707719, 128.2135866273326]","[0, 106]","[10, 100]","[20, 97]","[30, 99]","[40, 111]","[50, 99]","[60, 99]","[70, 122]"
"[14.138386136904437, 106.27281720977993]","[52.44502678357452, 125.22549658660141]","[0, 106]","[10, 100]","[20, 96]","[30, 100]","[40, 114]","[50, 99]","[60, 96]","[70, 119]"
"[13.951716284247457, 107.25602608435216]","[52.448938518329065, 127.24528573139436]","[0, 107]","[10, 97]","[20, 96]","[30, 101]","[40, 113]","[50, 100]","[60, 101]","[70, 121]"
"[14.275195785652718, 103.25954201258953]","[52.36939833388557, 127.2342901025514]","[0, 106]","[10, 98]","[20, 93]","[30, 97]","[40, 114]","[50, 99]","[60, 99]","[70, 121]"
"[14.319162458621237, 104.27757863840837]","[52.1917877178713, 128.21922660294672]","[0, 105]","[10, 99]","[20, 97]","[30, 98]","[40, 112]","[50, 100]","[60, 98]","[70, 122]"
"[14.203019475185723, 104.26004846596487]","[52.4269910033218, 126.23268952925491]","[0, 103]","[10, 97]","[20, 98]","[30, 98]","[40, 109]","[50, 101]","[60, 101]","[70, 120]"
"[14.170458317990168, 105.26646330239586]","[52.52511294761758, 125.2366992666605]","[0, 107]","[10, 98]","[20, 95]","[30, 99]","[40, 108]","[50, 103]","[60, 100]","[70, 119]"
"[14.654180837437044, 102.30546578421519]","[52.38691727241955, 126.22710379300588]","[0, 109]","[10, 100]","[20, 95]","[30, 96]","[40, 109]","[50, 102]","[60, 99]","[70, 120]"
"[14.138386136904437, 106.27281720977993]","[52.506654280424534, 126.2437537322156]","[0, 106]","[10, 101]","[20, 95]","[30, 100]","[40, 112]","[50, 103]","[60, 98]","[70, 120]"
"[14.060818977821752, 106.26121120920878]","[52.31230199022419, 128.23590699604745]","[0, 106]","[10, 97]","[20, 97]","[30, 100]","[40, 114]","[50, 102]","[60, 97]","[70, 122]"
"[14.546441685570317, 104.31150493354039]","[52.391739063987636, 128.24683874041602]","[0, 108]","[10, 101]","[20, 98]","[30, 98]","[40, 114]","[50, 101]","[60, 100]","[70, 122]"
"[14.324151685971653, 105.28946002675737]","[52.05422066101299, 129.20971907061488]","[0, 108]","[10, 98]","[20, 98]","[30, 99]","[40, 109]","[50, 102]","[60, 98]","[70, 123]"
