20,40,0
"[22.37225473341619, 30.510981647729988]","[59.07996862589575, 38.94811182349518]","[20, 16]","[30, 24]","[50, 59]","[60, 15]","[70, 33]"
"[22.31622843947473, 28.42995271327243]","[59.1738054321756, 38.97429964361307]","[20, 15]","[30, 22]","[50, 59]","[60, 16]","[70, 33]"
"[22.196610656165948, 33.55457463726022]","[58.98455583317135, 38.92123444881836]","[20, 16]","[30, 27]","[50, 57]","[60, 16]","[70, 33]"
"[22.365153577331657, 33.59332701097216]","[59.016652531922865, 41.00449360827323]","[20, 17]","[30, 27]","[50, 61]","[60, 16]","[70, 35]"
"[22.310772487265474, 31.5258351320049]","[59.09378335377496, 39.98946086806082]","[20, 16]","[30, 25]","[50, 61]","[60, 15]","[70, 34]"
"[22.18859444907703, 30.464478389644718]","[58.54004112049528, 40.873852759907265]","[20, 15]","[30, 24]","[50, 58]","[60, 14]","[70, 35]"
"[22.48391534805317, 31.56756357811343]","[59.62001803284728, 38.05993268585167]","[20, 17]","[30, 25]","[50, 61]","[60, 17]","[70, 32]"
"[22.25229252566661, 32.54036768256942]","[59.25687809636277, 37.95902833548574]","[20, 16]","[30, 26]","[50, 57]","[60, 17]","[70, 32]"
"[22.309812665338182, 34.60583065250044]","[58.90616133628809, 39.937817342057976]","[20, 17]","[30, 28]","[50, 57]","[60, 17]","[70, 34]"
"[22.309812665338182, 34.60583065250044]","[58.499180858073125, 42.936391268632775]","[20, 17]","[30, 28]","[50, 59]","[60, 16]","[70, 37]"
"[22.61479077963123, 29.540839254672456]","[59.25687809636277, 37.95902833548574]","[20, 17]","[30, 23]","[50, 59]","[60, 15]","[70, 32]"
"[22.07381604629584, 32.497355354520295]","[59.70574574088715, 39.11816492915233]","[20, 15]","[30, 26]","[50, 63]","[60, 18]","[70, 33]"
"[22.423121853440236, 32.58057037078644]","[58.81000507024987, 39.91098236316466]","[20, 17]","[30, 26]","[50, 58]","[60, 15]","[70, 34]"
"[22.020672181701322, 33.51317387038024]","[59.000741180244425, 39.9639700879025]","[20, 15]","[30, 27]","[50, 61]","[60, 14]","[70, 34]"
"[22.25229252566661, 32.54036768256942]","[58.6635026158004, 41.94503930883073]","[20, 16]","[30, 26]","[50, 59]","[60, 16]","[70, 36]"
"[22.18859444907703, 30.464478389644718]","[59.356901032652225, 39.0246963412779]","[20, 15]","[30, 24]","[50, 62]","[60, 15]","[70, 33]"
"[22.48391534805317, 31.56756357811343]","[59.53146545704496, 38.0356734839616]","[20, 17]","[30, 25]","[50, 61]","[60, 16]","[70, 32]"
"[22.310772487265474, 31.5258351320049]","[59.1738054321756, 38.97429964361307]","[20, 16]","[30, 25]","[50, 58]","[60, 17]","[70, 33]"
"[22.196610656165948, 33.55457463726022]","[58.687771256337946, 42.98646171174007]","[20, 16]","[30, 27]","[50, 64]","[60, 13]","[70, 37]"
"[22.71553466384342, 30.59475570684228]","[59.1738054321756, 38.97429964361307]","[20, 18]","[30, 24]","[50, 59]","[60, 16]","[70, 33]"
"[22.547729366713366, 30.55431469688763]","[59.10742542941508, 41.02870107759345]","[20, 17]","[30, 24]","[50, 62]","[60, 16]","[70, 35]"
"[22.43696963755198, 29.49581448350922]","[59.18532066758107, 40.01431261286967]","[20, 16]","[30, 23]","[50, 62]","[60, 15]","[70, 34]"
"[22.196610656165948, 33.55457463726022]","[59.70713869285574, 38.08358581590591]","[20, 16]","[30, 27]","[50, 63]","[60, 16]","[70, 32]"
"[22.423121853440236, 32.58057037078644]","[58.712232454771176, 39.88344400102553]","[20, 17]","[30, 26]","[50, 57]","[60, 15]","[70, 34]"
"[21.836860197585686, 33.46887583571045]","[59.016652531922865, 41.00449360827323]","[20, 14]","[30, 27]","[50, 61]","[60, 16]","[70, 35]"
"[22.07381604629584, 32.497355354520295]","[59.07996862589575, 38.94811182349518]","[20, 15]","[30, 26]","[50, 59]","[60, 15]","[70, 33]"
"[22.196610656165948, 33.55457463726022]","[58.88753031890558, 38.89364348484948]","[20, 16]","[30, 27]","[50, 57]","[60, 15]","[70, 33]"
"[22.07381604629584, 32.497355354520295]","[58.924411739946805, 40.979676015570085]","[20, 15]","[30, 26]","[50, 60]","[60, 16]","[70, 35]"
"[22.61479077963123, 29.540839254672456]","[58.73537960500909, 40.9281160693593]","[20, 17]","[30, 23]","[50, 59]","[60, 15]","[70, 35]"
"[22.48391534805317, 31.56756357811343]","[58.304205415804525, 39.765700040488674]","[20, 17]","[30, 25]","[50, 54]","[60, 14]","[70, 34]"
