"[22.51688857433995, 112.1310888188359]","[73.49248412893276, 118.30386721845692]"
"[23.272247665918655, 109.22742146684152]","[73.39007141522153, 116.26956938978145]"
"[22.414915044237446, 111.07595383782537]","[73.36509450642208, 117.27609482576136]"
"[17.844399218123208, 114.32292794559814]","[67.89330644436615, 117.38652644745545]"
"[17.768312896080133, 112.27000751631957]","[68.59466375660924, 113.44828783590974]"
"[17.962561228524443, 111.28905509787474]","[68.14421340792472, 115.39855917297771]"
"[14.728860235191902, 102.3166398788961]","[62.595544558162416, 117.2910837026887]"
"[23.39510799141059, 109.25741427480065]","[73.59635940146956, 114.2787064827294]"
"[17.95228936947502, 113.32520005523277]","[67.3792444665785, 120.34244460227013]"
"[18.05847545210162, 109.26880616229587]","[68.38142000405861, 115.44323063292036]"
"[18.252712849132266, 111.34611711913603]","[68.38142000405861, 115.44323063292036]"
"[23.14827282830528, 109.19701106240808]","[72.82438945391822, 120.22936778058312]"
"[22.951301652814273, 110.17835734012569]","[73.24865064210171, 117.25951894063743]"
"[17.508405371470424, 114.25729941531532]","[68.17128255413034, 117.43853526111472]"
"[18.26824841725766, 109.31071981800683]","[67.98322095685745, 115.3679505147904]"
"[23.076004632640366, 110.20889738675734]","[73.35121357279128, 116.2640117782873]"
"[17.314767006901246, 113.19930535912243]","[68.31506455028895, 116.44812638644396]"
"[14.987567284282699, 100.33309206520498]","[62.6876472712762, 115.25813588777424]"
"[14.802521007958438, 101.31652942774697]","[62.83697633410503, 114.26579823187427]"
"[18.15681042336341, 110.30810294055786]","[68.25076773882617, 114.40093177068405]"
"[15.204139753036356, 100.36525801424635]","[62.863137461721685, 116.32666158441667]"
"[17.48828313131308, 113.23393856002244]","[68.77213383138802, 111.44631087508927]"
"[23.127877424730066, 111.25057990085541]","[73.00545164113068, 119.2450747427258]"
"[18.242268365371533, 107.26558156271541]","[68.30291741281897, 115.42850234792871]"
"[17.85272602903635, 112.28669001822031]","[67.99835247467831, 116.38870223175516]"
"[17.508405371470424, 114.25729941531532]","[67.95812858734372, 116.38109036291318]"
"[14.987567284282699, 100.33309206520498]","[63.643477156576296, 110.34598382728203]"
