"[10, 71]","[20, 20]","[30, 30]","[50, 44]","[60, 23]","[70, 33]"
"[10, 70]","[20, 20]","[30, 29]","[50, 42]","[60, 24]","[70, 33]"
"[10, 74]","[20, 22]","[30, 30]","[50, 42]","[60, 23]","[70, 31]"
"[10, 68]","[20, 24]","[30, 31]","[50, 42]","[60, 23]","[70, 30]"
"[10, 70]","[20, 22]","[30, 30]","[50, 43]","[60, 25]","[70, 35]"
"[10, 67]","[20, 23]","[30, 31]","[50, 45]","[60, 22]","[70, 31]"
"[10, 69]","[20, 22]","[30, 28]","[50, 47]","[60, 23]","[70, 32]"
"[10, 71]","[20, 20]","[30, 29]","[50, 44]","[60, 22]","[70, 31]"
"[10, 65]","[20, 23]","[30, 30]","[50, 42]","[60, 23]","[70, 31]"
"[10, 68]","[20, 22]","[30, 29]","[50, 45]","[60, 24]","[70, 31]"
"[10, 65]","[20, 23]","[30, 30]","[50, 43]","[60, 23]","[70, 33]"
"[10, 71]","[20, 24]","[30, 29]","[50, 45]","[60, 24]","[70, 33]"
"[10, 67]","[20, 23]","[30, 29]","[50, 43]","[60, 23]","[70, 32]"
"[10, 71]","[20, 21]","[30, 31]","[50, 48]","[60, 23]","[70, 35]"
"[10, 70]","[20, 20]","[30, 30]","[50, 45]","[60, 23]","[70, 34]"
"[10, 69]","[20, 25]","[30, 33]","[50, 44]","[60, 24]","[70, 30]"
"[10, 71]","[20, 23]","[30, 30]","[50, 48]","[60, 23]","[70, 35]"
"[10, 68]","[20, 22]","[30, 28]","[50, 44]","[60, 24]","[70, 31]"
"[10, 64]","[20, 23]","[30, 30]","[50, 42]","[60, 21]","[70, 32]"
"[10, 69]","[20, 22]","[30, 30]","[50, 43]","[60, 22]","[70, 33]"
"[10, 71]","[20, 23]","[30, 31]","[50, 45]","[60, 22]","[70, 34]"
"[10, 65]","[20, 22]","[30, 31]","[50, 42]","[60, 23]","[70, 33]"
"[10, 73]","[20, 23]","[30, 30]","[50, 42]","[60, 23]","[70, 31]"
"[10, 63]","[20, 25]","[30, 30]","[50, 46]","[60, 22]","[70, 32]"
"[10, 73]","[20, 23]","[30, 30]","[50, 44]","[60, 22]","[70, 33]"
"[10, 67]","[20, 24]","[30, 30]","[50, 45]","[60, 25]","[70, 33]"
"[10, 72]","[20, 23]","[30, 30]","[50, 44]","[60, 22]","[70, 32]"
"[10, 73]","[20, 20]","[30, 27]","[50, 42]","[60, 22]","[70, 33]"
"[10, 67]","[20, 21]","[30, 29]","[50, 46]","[60, 22]","[70, 31]"
"[10, 66]","[20, 22]","[30, 30]","[50, 45]","[60, 22]","[70, 32]"
"[10, 68]","[20, 22]","[30, 28]","[50, 44]","[60, 23]","[70, 30]"
"[10, 68]","[20, 22]","[30, 29]","[50, 44]","[60, 23]","[70, 35]"
"[10, 70]","[20, 21]","[30, 28]","[50, 46]","[60, 24]","[70, 34]"
"[10, 71]","[20, 22]","[30, 28]","[50, 48]","[60, 23]","[70, 33]"
"[10, 68]","[20, 21]","[30, 32]","[50, 44]","[60, 22]","[70, 31]"
"[10, 73]","[20, 21]","[30, 30]","[50, 45]","[60, 25]","[70, 33]"
"[10, 72]","[20, 21]","[30, 31]","[50, 44]","[60, 23]","[70, 34]"
"[10, 67]","[20, 25]","[30, 30]","[50, 42]","[60, 23]","[70, 31]"
"[10, 70]","[20, 22]","[30, 29]","[50, 42]","[60, 23]","[70, 32]"
"[10, 71]","[20, 23]","[30, 31]","[50, 41]","[60, 24]","[70, 33]"
"[10, 69]","[20, 23]","[30, 28]","[50, 43]","[60, 24]","[70, 31]"
"[10, 66]","[20, 23]","[30, 30]","[50, 43]","[60, 19]","[70, 31]"
"[10, 67]","[20, 23]","[30, 31]","[50, 42]","[60, 22]","[70, 31]"
"[10, 73]","[20, 21]","[30, 28]","[50, 45]","[60, 22]","[70, 33]"
"[10, 72]","[20, 22]","[30, 28]","[50, 46]","[60, 22]","[70, 31]"
"[10, 70]","[20, 21]","[30, 31]","[50, 42]","[60, 23]","[70, 33]"
"[10, 68]","[20, 23]","[30, 32]","[50, 46]","[60, 23]","[70, 33]"
"[10, 71]","[20, 24]","[30, 31]","[50, 46]","[60, 23]","[70, 32]"
"[10, 67]","[20, 23]","[30, 29]","[50, 48]","[60, 23]","[70, 33]"
"[10, 72]","[20, 22]","[30, 29]","[50, 45]","[60, 23]","[70, 34]"
"[10, 69]","[20, 22]","[30, 29]","[50, 43]","[60, 22]","[70, 33]"
"[10, 68]","[20, 22]","[30, 27]","[50, 47]","[60, 24]","[70, 31]"
"[10, 70]","[20, 20]","[30, 28]","[50, 46]","[60, 22]","[70, 33]"
"[10, 66]","[20, 23]","[30, 29]","[50, 44]","[60, 23]","[70, 33]"
"[10, 70]","[20, 22]","[30, 30]","[50, 47]","[60, 25]","[70, 32]"
"[10, 64]","[20, 21]","[30, 32]","[50, 46]","[60, 23]","[70, 33]"
"[10, 66]","[20, 23]","[30, 31]","[50, 43]","[60, 24]","[70, 33]"
"[10, 73]","[20, 21]","[30, 30]","[50, 46]","[60, 22]","[70, 33]"
"[10, 70]","[20, 24]","[30, 30]","[50, 43]","[60, 22]","[70, 34]"
"[10, 70]","[20, 22]","[30, 29]","[50, 47]","[60, 24]","[70, 35]"
"[10, 71]","[20, 21]","[30, 31]","[50, 43]","[60, 24]","[70, 31]"
"[10, 69]","[20, 22]","[30, 31]","[50, 46]","[60, 23]","[70, 35]"
"[10, 75]","[20, 23]","[30, 30]","[50, 46]","[60, 24]","[70, 32]"
"[10, 66]","[20, 21]","[30, 31]","[50, 44]","[60, 24]","[70, 34]"
"[10, 67]","[20, 23]","[30, 29]","[50, 45]","[60, 23]","[70, 33]"
"[10, 70]","[20, 22]","[30, 30]","[50, 44]","[60, 24]","[70, 34]"
"[10, 65]","[20, 22]","[30, 30]","[50, 45]","[60, 24]","[70, 33]"
"[10, 69]","[20, 22]","[30, 29]","[50, 45]","[60, 25]","[70, 32]"
"[10, 65]","[20, 23]","[30, 27]","[50, 39]","[60, 24]","[70, 33]"
"[10, 70]","[20, 22]","[30, 29]","[50, 43]","[60, 23]","[70, 32]"
"[10, 74]","[20, 22]","[30, 32]","[50, 43]","[60, 23]","[70, 33]"
"[10, 70]","[20, 22]","[30, 29]","[50, 43]","[60, 23]","[70, 33]"
"[10, 72]","[20, 21]","[30, 30]","[50, 42]","[60, 24]","[70, 34]"
"[10, 63]","[20, 22]","[30, 27]","[50, 44]","[60, 23]","[70, 33]"
"[10, 73]","[20, 24]","[30, 31]","[50, 44]","[60, 22]","[70, 33]"
"[10, 69]","[20, 23]","[30, 32]","[50, 42]","[60, 23]","[70, 32]"
"[10, 69]","[20, 23]","[30, 29]","[50, 44]","[60, 24]","[70, 33]"
"[10, 73]","[20, 23]","[30, 30]","[50, 42]","[60, 23]","[70, 32]"
"[10, 72]","[20, 22]","[30, 28]","[50, 45]","[60, 24]","[70, 35]"
"[10, 69]","[20, 22]","[30, 29]","[50, 41]","[60, 24]","[70, 34]"
"[10, 69]","[20, 20]","[30, 29]","[50, 46]","[60, 23]","[70, 31]"
"[10, 68]","[20, 23]","[30, 30]","[50, 45]","[60, 25]","[70, 30]"
"[10, 71]","[20, 23]","[30, 31]","[50, 44]","[60, 23]","[70, 32]"
"[10, 71]","[20, 22]","[30, 30]","[50, 43]","[60, 21]","[70, 32]"
"[10, 70]","[20, 23]","[30, 30]","[50, 45]","[60, 23]","[70, 35]"
"[10, 73]","[20, 24]","[30, 30]","[50, 40]","[60, 23]","[70, 33]"
"[10, 71]","[20, 21]","[30, 29]","[50, 43]","[60, 22]","[70, 32]"
"[10, 67]","[20, 23]","[30, 30]","[50, 44]","[60, 25]","[70, 33]"
"[10, 68]","[20, 21]","[30, 32]","[50, 45]","[60, 24]","[70, 33]"
"[10, 68]","[20, 23]","[30, 29]","[50, 44]","[60, 23]","[70, 33]"
"[10, 67]","[20, 23]","[30, 29]","[50, 41]","[60, 23]","[70, 33]"
"[10, 70]","[20, 21]","[30, 29]","[50, 45]","[60, 23]","[70, 33]"
"[10, 67]","[20, 22]","[30, 29]","[50, 42]","[60, 24]","[70, 32]"
"[10, 67]","[20, 21]","[30, 31]","[50, 41]","[60, 24]","[70, 34]"
"[10, 68]","[20, 21]","[30, 28]","[50, 43]","[60, 23]","[70, 34]"
"[10, 71]","[20, 23]","[30, 33]","[50, 40]","[60, 24]","[70, 32]"
"[10, 70]","[20, 22]","[30, 29]","[50, 43]","[60, 24]","[70, 33]"
"[10, 72]","[20, 21]","[30, 29]","[50, 46]","[60, 24]","[70, 33]"
"[10, 69]","[20, 23]","[30, 30]","[50, 46]","[60, 21]","[70, 34]"
"[10, 65]","[20, 24]","[30, 29]","[50, 45]","[60, 22]","[70, 35]"
"[10, 69]","[20, 21]","[30, 30]","[50, 42]","[60, 22]","[70, 31]"
"[10, 70]","[20, 24]","[30, 29]","[50, 46]","[60, 22]","[70, 33]"
"[10, 71]","[20, 24]","[30, 29]","[50, 43]","[60, 22]","[70, 34]"
"[10, 69]","[20, 21]","[30, 33]","[50, 42]","[60, 23]","[70, 34]"
"[10, 69]","[20, 21]","[30, 30]","[50, 44]","[60, 22]","[70, 35]"
"[10, 69]","[20, 22]","[30, 30]","[50, 44]","[60, 23]","[70, 34]"
"[10, 69]","[20, 21]","[30, 31]","[50, 45]","[60, 22]","[70, 30]"
"[10, 70]","[20, 23]","[30, 31]","[50, 44]","[60, 26]","[70, 33]"
"[10, 71]","[20, 24]","[30, 30]","[50, 44]","[60, 22]","[70, 32]"
"[10, 66]","[20, 22]","[30, 30]","[50, 42]","[60, 23]","[70, 32]"
"[10, 68]","[20, 22]","[30, 31]","[50, 43]","[60, 25]","[70, 33]"
"[10, 62]","[20, 23]","[30, 30]","[50, 43]","[60, 24]","[70, 35]"
"[10, 67]","[20, 21]","[30, 30]","[50, 43]","[60, 22]","[70, 33]"
"[10, 71]","[20, 24]","[30, 29]","[50, 46]","[60, 22]","[70, 32]"
"[10, 68]","[20, 22]","[30, 30]","[50, 44]","[60, 24]","[70, 33]"
"[10, 71]","[20, 21]","[30, 32]","[50, 44]","[60, 22]","[70, 32]"
"[10, 73]","[20, 25]","[30, 30]","[50, 45]","[60, 23]","[70, 35]"
"[10, 70]","[20, 23]","[30, 30]","[50, 42]","[60, 23]","[70, 33]"
"[10, 72]","[20, 23]","[30, 30]","[50, 44]","[60, 24]","[70, 30]"
"[10, 66]","[20, 23]","[30, 28]","[50, 45]","[60, 24]","[70, 33]"
"[10, 68]","[20, 24]","[30, 30]","[50, 41]","[60, 24]","[70, 33]"
"[10, 66]","[20, 23]","[30, 33]","[50, 43]","[60, 24]","[70, 31]"
"[10, 67]","[20, 22]","[30, 30]","[50, 43]","[60, 21]","[70, 33]"
"[10, 65]","[20, 22]","[30, 32]","[50, 42]","[60, 23]","[70, 32]"
"[10, 70]","[20, 23]","[30, 30]","[50, 45]","[60, 25]","[70, 31]"
"[10, 62]","[20, 22]","[30, 30]","[50, 43]","[60, 23]","[70, 34]"
"[10, 66]","[20, 22]","[30, 28]","[50, 45]","[60, 22]","[70, 34]"
"[10, 69]","[20, 22]","[30, 27]","[50, 44]","[60, 24]","[70, 34]"
"[10, 70]","[20, 22]","[30, 31]","[50, 41]","[60, 24]","[70, 32]"
"[10, 71]","[20, 24]","[30, 30]","[50, 42]","[60, 23]","[70, 34]"
"[10, 64]","[20, 20]","[30, 32]","[50, 46]","[60, 24]","[70, 34]"
"[10, 73]","[20, 23]","[30, 33]","[50, 48]","[60, 23]","[70, 33]"
"[10, 74]","[20, 22]","[30, 31]","[50, 45]","[60, 24]","[70, 34]"
"[10, 71]","[20, 22]","[30, 34]","[50, 41]","[60, 23]","[70, 34]"
"[10, 72]","[20, 24]","[30, 29]","[50, 42]","[60, 24]","[70, 32]"
"[10, 66]","[20, 22]","[30, 31]","[50, 46]","[60, 25]","[70, 33]"
"[10, 65]","[20, 19]","[30, 30]","[50, 46]","[60, 24]","[70, 33]"
"[10, 71]","[20, 22]","[30, 29]","[50, 43]","[60, 22]","[70, 32]"
"[10, 67]","[20, 24]","[30, 30]","[50, 44]","[60, 22]","[70, 32]"
"[10, 68]","[20, 23]","[30, 29]","[50, 45]","[60, 24]","[70, 31]"
"[10, 72]","[20, 23]","[30, 32]","[50, 50]","[60, 25]","[70, 34]"
"[10, 66]","[20, 23]","[30, 30]","[50, 45]","[60, 24]","[70, 34]"
"[10, 67]","[20, 22]","[30, 29]","[50, 44]","[60, 22]","[70, 32]"
"[10, 68]","[20, 22]","[30, 30]","[50, 46]","[60, 23]","[70, 34]"
"[10, 63]","[20, 22]","[30, 29]","[50, 45]","[60, 22]","[70, 33]"
"[10, 67]","[20, 22]","[30, 30]","[50, 47]","[60, 22]","[70, 33]"
"[10, 66]","[20, 21]","[30, 29]","[50, 50]","[60, 23]","[70, 32]"
"[10, 69]","[20, 22]","[30, 30]","[50, 48]","[60, 24]","[70, 34]"
"[10, 56]","[20, 23]","[30, 30]","[50, 46]","[60, 23]","[70, 32]"
"[10, 69]","[20, 24]","[30, 30]","[50, 46]","[60, 22]","[70, 31]"
"[10, 65]","[20, 21]","[30, 28]","[50, 48]","[60, 24]","[70, 32]"
"[10, 67]","[20, 21]","[30, 30]","[50, 49]","[60, 23]","[70, 34]"
"[10, 70]","[20, 22]","[30, 32]","[50, 46]","[60, 22]","[70, 31]"
"[10, 69]","[20, 24]","[30, 31]","[50, 45]","[60, 24]","[70, 30]"
"[10, 72]","[20, 22]","[30, 31]","[50, 49]","[60, 22]","[70, 33]"
"[10, 71]","[20, 23]","[30, 33]","[50, 48]","[60, 22]","[70, 32]"
"[10, 72]","[20, 23]","[30, 31]","[50, 48]","[60, 23]","[70, 32]"
"[10, 66]","[20, 22]","[30, 31]","[50, 44]","[60, 23]","[70, 34]"
"[10, 71]","[20, 22]","[30, 30]","[50, 47]","[60, 23]","[70, 33]"
"[10, 65]","[20, 21]","[30, 27]","[50, 47]","[60, 23]","[70, 34]"
"[10, 69]","[20, 23]","[30, 30]","[50, 44]","[60, 23]","[70, 32]"
"[10, 66]","[20, 23]","[30, 30]","[50, 46]","[60, 23]","[70, 33]"
"[10, 72]","[20, 23]","[30, 34]","[50, 47]","[60, 24]","[70, 33]"
