"[0, 105]","[10, 81]","[20, 77]","[30, 80]","[40, 79]","[50, 79]","[60, 107]"
"[0, 102]","[10, 84]","[20, 73]","[30, 77]","[40, 78]","[50, 77]","[60, 106]"
"[0, 103]","[10, 86]","[20, 73]","[30, 78]","[40, 76]","[50, 78]","[60, 105]"
"[0, 100]","[10, 83]","[20, 74]","[30, 79]","[40, 79]","[50, 80]","[60, 101]"
"[0, 106]","[10, 86]","[20, 74]","[30, 78]","[40, 79]","[50, 77]","[60, 106]"
"[0, 100]","[10, 83]","[20, 74]","[30, 77]","[40, 78]","[50, 76]","[60, 106]"
"[0, 100]","[10, 83]","[20, 73]","[30, 75]","[40, 78]","[50, 78]","[60, 106]"
"[0, 105]","[10, 83]","[20, 75]","[30, 77]","[40, 78]","[50, 76]","[60, 107]"
"[0, 107]","[10, 85]","[20, 74]","[30, 78]","[40, 76]","[50, 77]","[60, 108]"
"[0, 108]","[10, 88]","[20, 75]","[30, 77]","[40, 79]","[50, 79]","[60, 107]"
"[0, 101]","[10, 88]","[20, 71]","[30, 79]","[40, 79]","[50, 79]","[60, 104]"
"[0, 102]","[10, 86]","[20, 73]","[30, 78]","[40, 78]","[50, 78]","[60, 107]"
"[0, 99]","[10, 85]","[20, 73]","[30, 75]","[40, 76]","[50, 75]","[60, 103]"
"[0, 107]","[10, 82]","[20, 73]","[30, 80]","[40, 77]","[50, 79]","[60, 106]"
"[0, 104]","[10, 86]","[20, 74]","[30, 78]","[40, 79]","[50, 74]","[60, 109]"
"[0, 100]","[10, 84]","[20, 73]","[30, 77]","[40, 77]","[50, 80]","[60, 107]"
"[0, 96]","[10, 85]","[20, 74]","[30, 79]","[40, 80]","[50, 78]","[60, 108]"
"[0, 88]","[10, 83]","[20, 77]","[30, 78]","[40, 78]","[50, 78]","[60, 106]"
"[0, 91]","[10, 86]","[20, 72]","[30, 79]","[40, 78]","[50, 74]","[60, 102]"
"[0, 102]","[10, 85]","[20, 74]","[30, 79]","[40, 78]","[50, 77]","[60, 108]"
"[0, 108]","[10, 86]","[20, 73]","[30, 75]","[40, 78]","[50, 76]","[60, 107]"
"[0, 105]","[10, 86]","[20, 75]","[30, 76]","[40, 76]","[50, 76]","[60, 106]"
"[0, 107]","[10, 81]","[20, 75]","[30, 80]","[40, 79]","[50, 75]","[60, 106]"
"[0, 101]","[10, 85]","[20, 74]","[30, 78]","[40, 77]","[50, 77]","[60, 109]"
"[0, 102]","[10, 86]","[20, 72]","[30, 77]","[40, 77]","[50, 79]","[60, 109]"
"[0, 108]","[10, 84]","[20, 74]","[30, 80]","[40, 77]","[50, 76]","[60, 105]"
"[0, 101]","[10, 85]","[20, 74]","[30, 82]","[40, 78]","[50, 77]","[60, 109]"
