"[30, 146]","[40, 135]","[50, 132]","[60, 142]","[70, 175]"
"[30, 151]","[40, 134]","[50, 127]","[60, 138]","[70, 172]"
"[30, 145]","[40, 128]","[50, 128]","[60, 140]","[70, 175]"
"[30, 151]","[40, 135]","[50, 126]","[60, 142]","[70, 180]"
"[30, 149]","[40, 129]","[50, 130]","[60, 135]","[70, 173]"
"[30, 147]","[40, 132]","[50, 129]","[60, 141]","[70, 173]"
"[30, 152]","[40, 134]","[50, 131]","[60, 140]"
"[30, 146]","[40, 133]","[50, 129]","[60, 137]","[70, 179]"
"[30, 149]","[40, 138]","[50, 131]","[60, 140]","[70, 176]"
"[30, 151]","[40, 135]","[50, 134]","[60, 144]","[70, 180]"
"[30, 142]","[40, 132]","[50, 131]","[60, 137]","[70, 178]"
"[30, 149]","[40, 130]","[50, 130]","[60, 139]","[70, 175]"
"[30, 146]","[40, 134]","[50, 130]","[60, 137]","[70, 167]"
"[30, 145]","[40, 131]","[50, 130]","[60, 137]","[70, 177]"
"[30, 145]","[40, 128]","[50, 120]","[60, 134]","[70, 174]"
"[30, 145]","[40, 135]","[50, 131]","[60, 140]"
"[30, 149]","[40, 134]","[50, 130]","[60, 137]","[70, 179]"
"[30, 145]","[40, 131]","[50, 127]","[60, 138]","[70, 170]"
"[30, 145]","[40, 132]","[50, 128]","[60, 145]","[70, 170]"
"[30, 145]","[40, 132]","[50, 129]","[60, 133]","[70, 169]"
"[30, 148]","[40, 136]","[50, 131]","[60, 135]","[70, 169]"
"[30, 142]","[40, 135]","[50, 129]","[60, 141]","[70, 174]"
"[30, 143]","[40, 133]","[50, 130]","[60, 137]","[70, 178]"
"[30, 144]","[40, 136]","[50, 130]","[60, 139]","[70, 173]"
"[30, 141]","[40, 135]","[50, 130]","[60, 137]","[70, 169]"
"[30, 146]","[40, 130]","[50, 134]","[60, 140]","[70, 181]"
"[30, 147]","[40, 133]","[50, 129]","[60, 144]","[70, 174]"
"[30, 150]","[40, 137]","[50, 128]","[60, 137]","[70, 181]"
"[30, 148]","[40, 134]","[50, 129]","[60, 138]","[70, 173]"
"[30, 146]","[40, 132]","[50, 128]","[60, 141]","[70, 164]"
"[30, 146]","[40, 140]","[50, 132]","[60, 138]","[70, 174]"
"[30, 152]","[40, 136]","[50, 132]","[60, 143]","[70, 175]"
