"[44.17681039626133, 177.7470932835058]"
"[49.312216210695944, 178.12965439974627]"
"[44.077990808262776, 176.73424149372013]"
"[49.28205739211944, 181.13317798386223]"
"[30.0, 172.44999998573857]","[49.432016656047416, 176.133245667372]"
"[54.588425892514465, 182.36972712221902]"
"[44.24637577651339, 177.75327232706758]"
"[53.08895149616767, 193.7132389695329]"
"[49.144180010086956, 179.12133784945735]"
"[49.278243535138635, 175.12209009320216]"
"[49.42869068969911, 175.13123627861683]"
"[49.21713616397388, 176.12022129085315]"
"[49.347090441710634, 176.12812954779807]"
"[40.01119746348665, 165.14819488811509]"
"[30.0, 176.44999998573857]","[49.42099064010901, 179.1378998927195]"
"[44.041163602111666, 178.73896622724573]"
"[43.555011732060315, 181.70736050260203]"
"[49.247931709311395, 178.12578573420743]"
"[44.041163602111666, 178.73896622724573]"
"[30.0, 173.44999998573857]","[49.23534584426139, 180.12863383109]"
"[49.11083795072823, 181.1229655480135]"
"[49.44663475866685, 174.13049411159298]"
"[44.37714834673701, 175.75701695775672]"
"[54.53987723346734, 182.36828000775745]"
"[47.798222420692, 190.1583118673716]"
"[49.12226199251873, 179.1200081123154]"
"[49.094394797298435, 182.12377729523035]"
"[49.29087379442472, 178.12837266565532]"
"[49.403984441366724, 174.1279040100623]"
"[49.39324032316014, 177.1327162064945]"
"[52.92754910491278, 197.71427343592873]"
"[54.5371094736403, 181.36774610713962]"
"[54.65128560145848, 174.36798374209158]"
"[39.869427593731096, 166.14142769302882]"
"[49.21713616397388, 176.12022129085315]"
"[43.84590475238883, 181.7334523605485]"
"[49.41430695152921, 177.13397641987225]"
"[49.546596254524275, 172.13288137122188]"
"[47.21670271179222, 198.1444520123156]"
"[47.532346791804045, 194.1543382449742]"
"[44.01756583834037, 178.7368564609978]"
"[49.13253928844147, 181.12426922900434]"
"[54.6414032481654, 177.36907263649428]"
"[49.260808315708175, 176.12288968124975]"
"[49.403984441366724, 174.1279040100623]"
"[30.0, 176.44999998573857]","[49.57500513816718, 175.1400066501244]"
"[43.702174273664795, 181.72061901857472]"
"[49.38972664505373, 176.1307031695837]"
"[54.57847821310393, 178.36762487048148]"
"[49.299978223793666, 175.12341933812635]"
"[49.089068930228414, 181.121655476546]"
"[49.19713491610053, 181.1281331158373]"
"[49.045225222741124, 181.11900896816016]"
"[49.15416761615186, 181.12556533843974]"
"[54.66749460824229, 182.37205614064786]"
"[30.0, 173.44999998573857]","[49.35088199906458, 177.1301746789418]"
"[43.9522322071098, 179.73500395954963]"
"[49.347090441710634, 176.12812954779807]"
"[49.03954672588396, 180.11682537120296]"
"[49.230856862002895, 179.12656992507073]"
"[49.30413168449492, 176.12552597767916]"
"[54.59245103956575, 177.36758684050147]"
"[53.19440999671351, 191.71482631656266]"
"[49.16392382567999, 183.1296861691369]"
"[44.163107796265464, 174.73378421301294]"
"[49.18289839119005, 178.12184820438497]"
"[54.6251801639196, 177.3685818039578]"
"[54.588425892514465, 182.36972712221902]"
"[49.22634426060371, 178.12448131102025]"
"[30.0, 172.44999998573857]","[49.41430695152921, 177.13397641987225]"
"[44.26944679386454, 177.75531557837164]"
"[49.22634426060371, 178.12448131102025]"
"[47.12698735396679, 195.1138841970103]"
"[54.68196359950546, 173.36845442312574]"
"[49.21847854592796, 181.129404767865]"
"[49.11704356284396, 178.1178367568862]"
"[49.23534584426139, 180.12863383109]"
"[49.01147068688198, 179.11324558337083]"
"[44.19127869037442, 175.74039611420514]"
"[43.670452327285595, 180.71371938221182]"
"[40.14872198787998, 166.1582222247403]"
"[54.58102880295498, 179.36816119437205]"
"[49.089068930228414, 181.121655476546]"
"[44.39689091158814, 174.7548153506601]"
"[44.272941451935736, 172.73552652984176]"
"[43.795191351803005, 177.71270825738983]"
"[49.19517560216391, 176.11887509668242]"
