"[44.68780383239876, 81.27658425063373]"
"[44.781584300905216, 78.27624567661185]"
"[44.61775201997474, 81.27197491560176]"
"[44.715065296667845, 79.2740315407035]"
"[44.662342564409556, 75.26095874153101]"
"[48.039619181903156, 93.68965682910078]"
"[44.813679114809815, 77.276158341679]"
"[47.73848834588053, 97.683457324283]"
"[48.0629425569245, 94.70062913965268]"
"[48.011199255025055, 96.7097262765654]"
"[48.0629425569245, 94.70062913965268]"
"[44.61775201997474, 81.27197491560176]"
"[44.57094052836179, 79.26429095426164]"
"[47.8128185719848, 96.68492700808157]"
"[44.74671515228856, 78.27391331000648]"
"[47.98595397990584, 97.71420161906798]"
"[44.70760585666384, 77.26896573310158]"
"[47.762202356575116, 96.67853333675102]"
"[48.089495754318676, 93.69601051359827]"
"[47.78877542261992, 97.68975614817994]"
"[47.71515333288606, 98.68832276321984]"
"[44.715065296667845, 79.2740315407035]"
"[47.91298980989667, 94.68160628116105]"
"[48.03684512713745, 95.70520061714656]"
"[48.0629425569245, 94.70062913965268]"
"[47.7349926852953, 95.6669853917614]"
"[47.8128185719848, 96.68492700808157]"
"[44.77879790806273, 77.27380894147329]"
"[47.96220400744675, 96.70363924693325]"
"[44.80888294576632, 75.2712083317213]"
"[47.54069212280794, 99.67431124235208]"
"[47.61393887778046, 98.67567068939039]"
"[44.781584300905216, 78.27624567661185]"
"[48.0629425569245, 94.70062913965268]"
"[47.762202356575116, 96.67853333675102]"
"[47.73848834588053, 97.683457324283]"
"[44.781584300905216, 78.27624567661185]"
"[47.61393887778046, 98.67567068939039]"
"[47.96339382709691, 94.68802781412342]"
"[47.762202356575116, 96.67853333675102]"
"[47.9875661476412, 95.69902785787656]"
"[44.63927290246254, 78.26662826900524]"
"[47.989339112564814, 93.68322436550554]"
"[44.648546472672955, 80.27181598143632]"
"[47.8128185719848, 96.68492700808157]"
"[48.011199255025055, 96.7097262765654]"
"[44.63927290246254, 78.26662826900524]"
"[44.61279170066237, 80.26942434524285]"
"[48.03684512713745, 95.70520061714656]"
"[44.63927290246254, 78.26662826900524]"
"[47.8128185719848, 96.68492700808157]"
"[44.77879790806273, 77.27380894147329]"
"[47.78877542261992, 97.68975614817994]"
"[47.8128185719848, 96.68492700808157]"
"[44.67127479895141, 77.26646871323206]"
"[47.7349926852953, 95.6669853917614]"
"[47.96339382709691, 94.68802781412342]"
"[47.93788313893633, 95.69277814622625]"
"[44.6077015417807, 79.26680022098911]"
"[44.81130999634686, 76.27371761737722]"
"[47.96339382709691, 94.68802781412342]"
"[44.77593937235995, 76.27130318838309]"
"[44.58202755563519, 81.26960116285017]"
"[47.68777361548271, 97.67707819646569]"
"[44.743439536781224, 77.27141159332251]"
"[47.83729319618707, 95.6800453503008]"
"[47.78877542261992, 97.68975614817994]"
"[44.743439536781224, 77.27141159332251]"
